Date,Team,Conference,Coach,Location,Opponent,OpponentConference,OpponentCoach,Result,Points,OpponentPoints
1960-09-24,North Carolina,ACC,James Hickey,H,North Carolina State,ACC,Earle Edwards,L,0,3
1960-09-30,North Carolina,ACC,James Hickey,A,Miami (FL),Ind,Andy Gustafson,L,12,29
1960-10-08,North Carolina,ACC,James Hickey,H,Notre Dame,Ind,Joe Kuharich,W,12,7
1960-10-15,North Carolina,ACC,James Hickey,H,Wake Forest,ACC,Billy Hildebrand,L,12,13
1960-10-22,North Carolina,ACC,James Hickey,A,South Carolina,ACC,Warren Giese,L,6,22
1960-10-29,North Carolina,ACC,James Hickey,A,Tennessee,SEC,Bowden Wyatt,L,14,27
1960-11-05,North Carolina,ACC,James Hickey,A,Clemson,ACC,Frank Howard,L,0,24
1960-11-12,North Carolina,ACC,James Hickey,H,Maryland,ACC,Thomas Nugent,L,19,22
1960-11-19,North Carolina,ACC,James Hickey,H,Duke,ACC,Bill Murray,W,7,6
1960-11-26,North Carolina,ACC,James Hickey,A,Virginia,ACC,Richard Voris,W,35,8
1960-09-24,Indiana,Big Ten,Phil Dickens,A,Illinois,Big Ten,Pete Elliott,L,6,17
1960-10-01,Indiana,Big Ten,Phil Dickens,A,Minnesota,Big Ten,Murray Warmath,L,0,42
1960-10-08,Indiana,Big Ten,Phil Dickens,H,Oregon State,Ind,Tommy Prothro,L,6,20
1960-10-15,Indiana,Big Ten,Phil Dickens,H,Marquette,Ind,Liz Blackbourn,W,34,8
1960-10-22,Indiana,Big Ten,Phil Dickens,H,Michigan State,Big Ten,Duffy Daugherty,L,0,35
1960-10-29,Indiana,Big Ten,Phil Dickens,H,Northwestern,Big Ten,Ara Parseghian,L,3,21
1960-11-05,Indiana,Big Ten,Phil Dickens,A,Ohio State,Big Ten,Woody Hayes,L,7,36
1960-11-12,Indiana,Big Ten,Phil Dickens,A,Michigan,Big Ten,Bump Elliott,L,7,29
1960-11-19,Indiana,Big Ten,Phil Dickens,A,Purdue,Big Ten,Jack Mollenkopf,L,6,35
1960-09-17,Florida State,Ind,Bill Peterson,H,Richmond,Southern,Edwin Merrick,W,28,0
1960-09-24,Florida State,Ind,Bill Peterson,A,Florida,SEC,Ray Graves,L,0,3
1960-10-01,Florida State,Ind,Bill Peterson,H,Wake Forest,ACC,Billy Hildebrand,W,14,6
1960-10-08,Florida State,Ind,Bill Peterson,A,Citadel,Southern,Eddie Teague,T,0,0
1960-10-22,Florida State,Ind,Bill Peterson,H,William & Mary,Southern,Milt Drewer,W,22,0
1960-10-29,Florida State,Ind,Bill Peterson,H,Kentucky,SEC,Blanton Collier,L,0,23
1960-11-04,Florida State,Ind,Bill Peterson,A,Miami (FL),Ind,Andy Gustafson,L,7,25
1960-11-12,Florida State,Ind,Bill Peterson,H,Houston,Ind,Hal Lahar,L,6,7
1960-11-19,Florida State,Ind,Bill Peterson,A,Auburn,SEC,Ralph Jordan,L,21,57
1960-09-23,Iowa State,Big 8,Clay Stapleton,A,Detroit Mercy,Ind,Jim Miller,W,44,21
1960-10-01,Iowa State,Big 8,Clay Stapleton,A,Nebraska,Big 8,William Jennings,W,10,7
1960-10-08,Iowa State,Big 8,Clay Stapleton,H,Kansas,Big 8,Jack Mitchell,L,14,28
1960-10-15,Iowa State,Big 8,Clay Stapleton,H,Colorado,Big 8,Everett Grandelius,L,6,21
1960-10-22,Iowa State,Big 8,Clay Stapleton,A,Missouri,Big 8,Dan Devine,L,8,34
1960-10-29,Iowa State,Big 8,Clay Stapleton,A,Oklahoma State,Big 8,Cliff Speegle,W,13,6
1960-11-05,Iowa State,Big 8,Clay Stapleton,H,Oklahoma,Big 8,Bud Wilkinson,W,10,6
1960-11-12,Iowa State,Big 8,Clay Stapleton,A,Kansas State,Big 8,Doug Weaver,W,20,7
1960-11-19,Iowa State,Big 8,Clay Stapleton,A,Pacific,Ind,Moose Myers,W,14,6
1960-09-17,Cincinnati,MVC,George Blackburn,H,Hardin-Simmons,BIAA,Howard McChesney,W,15,14
1960-09-24,Cincinnati,MVC,George Blackburn,H,Dayton,Ind,Stan Zajdel,W,27,21
1960-10-01,Cincinnati,MVC,George Blackburn,A,North Texas,MVC,Odus Mitchell,W,21,0
1960-10-07,Cincinnati,MVC,George Blackburn,A,Detroit Mercy,Ind,Jim Miller,L,0,14
1960-10-15,Cincinnati,MVC,George Blackburn,H,Wichita State,MVC,Hank Foldberg,L,8,25
1960-10-22,Cincinnati,MVC,George Blackburn,H,Tulsa,MVC,Robert Dobbs,L,3,34
1960-10-29,Cincinnati,MVC,George Blackburn,H,Xavier,Ind,Edward Doherty,L,0,5
1960-11-05,Cincinnati,MVC,George Blackburn,A,Houston,Ind,Hal Lahar,L,0,14
1960-11-12,Cincinnati,MVC,George Blackburn,A,Marquette,Ind,Liz Blackbourn,W,33,13
1960-09-17,Arizona State,BIAA,Frank Kush,H,Colorado State,Skyline,Tuffy Mullison,W,39,0
1960-09-24,Arizona State,BIAA,Frank Kush,A,West Texas A&M,BIAA,Joe Kerbel,W,14,3
1960-10-01,Arizona State,BIAA,Frank Kush,H,Washington State,Ind,Jim Sutherland,W,24,21
1960-10-08,Arizona State,BIAA,Frank Kush,A,Hardin-Simmons,BIAA,Howard McChesney,W,28,0
1960-10-15,Arizona State,BIAA,Frank Kush,A,BYU,Skyline,Tally Stevens,W,31,0
1960-10-22,Arizona State,BIAA,Frank Kush,H,San Jose State,Ind,Robert Titchenal,L,7,12
1960-10-29,Arizona State,BIAA,Frank Kush,H,New Mexico State,BIAA,Warren Woodson,L,24,27
1960-11-05,Arizona State,BIAA,Frank Kush,H,UTEP,BIAA,Ben Collins,W,24,0
1960-11-12,Arizona State,BIAA,Frank Kush,H,North Carolina State,ACC,Earle Edwards,W,25,22
1960-11-26,Arizona State,BIAA,Frank Kush,A,Arizona,BIAA,Jim LaRue,L,7,35
1960-10-08,Furman,Southern,Robert King,H,William & Mary,Southern,Milt Drewer,W,25,23
1960-10-22,Furman,Southern,Robert King,H,Citadel,Southern,Eddie Teague,L,6,7
1960-11-05,Furman,Southern,Robert King,A,Alabama,SEC,Bear Bryant,L,0,51
1960-11-11,Furman,Southern,Robert King,H,Richmond,Southern,Edwin Merrick,L,28,35
1960-11-19,Furman,Southern,Robert King,A,Davidson,Southern,,W,22,21
1960-11-26,Furman,Southern,Robert King,A,Clemson,ACC,Frank Howard,L,14,42
1960-09-24,Utah,Skyline,Ray Nagel,A,Arizona,BIAA,Jim LaRue,W,13,3
1960-10-01,Utah,Skyline,Ray Nagel,H,Oregon,Ind,Len Casanova,L,17,20
1960-10-07,Utah,Skyline,Ray Nagel,H,BYU,Skyline,Tally Stevens,W,17,0
1960-10-22,Utah,Skyline,Ray Nagel,H,Denver,Skyline,John Roning,W,49,16
1960-10-29,Utah,Skyline,Ray Nagel,A,Wyoming,Skyline,Bob Devaney,L,7,17
1960-11-05,Utah,Skyline,Ray Nagel,A,Colorado State,Skyline,Tuffy Mullison,W,27,6
1960-11-12,Utah,Skyline,Ray Nagel,H,Montana,Skyline,Ray Jenkins,W,16,6
1960-11-19,Utah,Skyline,Ray Nagel,H,Utah State,Skyline,John Ralston,W,6,0
1960-11-26,Utah,Skyline,Ray Nagel,H,UCLA,AAWU,Bill Barnes,L,9,16
1960-09-17,Wichita State,MVC,Hank Foldberg,H,Denver,Skyline,John Roning,L,19,28
1960-09-24,Wichita State,MVC,Hank Foldberg,H,Xavier,Ind,Edward Doherty,W,20,13
1960-10-15,Wichita State,MVC,Hank Foldberg,A,Cincinnati,MVC,George Blackburn,W,25,8
1960-10-22,Wichita State,MVC,Hank Foldberg,A,New Mexico State,BIAA,Warren Woodson,L,8,40
