Date,Team,Conference,Location,Opponent,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2005-09-02,Indiana,Big Ten,A,Central Michigan,W,20,13,17,35,276,3,45,109,0,9,9,10,78,0,1
2005-09-17,Indiana,Big Ten,H,Kentucky,W,38,14,17,22,135,4,60,305,1,5,15,9,80,0,0
2005-10-01,Indiana,Big Ten,A,Wisconsin,L,24,41,20,41,244,3,33,125,0,7,9,12,77,2,2
2005-10-08,Indiana,Big Ten,H,Illinois,W,36,13,22,35,198,4,47,205,1,11,11,6,46,2,1
2005-10-15,Indiana,Big Ten,A,Iowa,L,21,38,37,57,360,2,44,86,1,18,5,7,49,0,1
2005-10-22,Indiana,Big Ten,H,Ohio State,L,10,41,15,33,95,0,26,42,0,3,2,6,45,1,1
2005-10-29,Indiana,Big Ten,A,Michigan State,L,15,46,25,44,232,2,31,137,0,12,11,2,20,1,3
2005-11-05,Indiana,Big Ten,H,Minnesota,L,21,42,26,43,253,0,37,112,3,12,8,4,56,0,1
2005-11-12,Indiana,Big Ten,A,Michigan,L,14,41,13,30,147,2,28,63,0,8,1,8,73,0,1
2005-11-19,Indiana,Big Ten,H,Purdue,L,14,41,12,27,169,0,39,145,2,7,11,4,30,2,3
2005-09-05,Florida State,ACC,H,Miami (FL),W,10,7,8,26,74,0,33,96,1,5,4,7,70,1,1
2005-09-17,Florida State,ACC,A,Boston College,W,28,17,20,38,231,2,19,13,1,10,3,3,23,2,1
2005-10-01,Florida State,ACC,H,Syracuse,W,38,14,22,36,396,3,36,116,2,11,6,10,85,1,1
2005-10-08,Florida State,ACC,H,Wake Forest,W,41,24,24,37,395,3,36,192,2,17,9,8,64,0,0
2005-10-15,Florida State,ACC,A,Virginia,L,21,26,35,59,377,1,21,95,1,19,5,13,123,0,3
2005-10-22,Florida State,ACC,A,Duke,W,55,24,34,49,376,4,33,163,3,18,9,11,98,0,1
2005-10-29,Florida State,ACC,H,Maryland,W,35,27,27,37,264,1,33,136,3,11,9,9,91,0,2
2005-11-05,Florida State,ACC,H,North Carolina State,L,15,20,20,45,184,1,23,43,0,9,3,7,50,0,3
2005-11-12,Florida State,ACC,A,Clemson,L,14,35,13,34,124,0,32,102,0,7,4,7,45,0,2
2005-11-26,Florida State,ACC,A,Florida,L,7,34,24,42,285,1,28,49,0,12,4,7,55,2,2
2005-12-03,Florida State,ACC,N,Virginia Tech,W,27,22,21,35,225,1,24,47,1,9,3,12,114,0,0
2006-01-03,Florida State,ACC,N,Penn State,L,23,26,24,43,258,1,26,26,1,9,3,13,129,0,1
2005-09-10,Iowa State,Big 12,H,Iowa,W,23,3,14,24,154,1,55,169,1,8,13,3,24,0,1
2005-09-23,Iowa State,Big 12,A,Army,W,28,21,18,26,158,2,32,71,2,9,4,4,30,0,3
2005-10-01,Iowa State,Big 12,A,Nebraska,L,20,27,23,41,317,1,38,57,1,12,5,4,34,0,1
2005-10-08,Iowa State,Big 12,H,Baylor,L,13,23,19,31,210,0,38,110,1,12,6,3,30,2,1
2005-10-15,Iowa State,Big 12,A,Missouri,L,24,27,16,25,169,0,54,157,3,8,10,6,55,2,1
2005-10-22,Iowa State,Big 12,H,Oklahoma State,W,37,10,13,20,227,1,44,147,3,8,8,3,30,1,0
2005-10-29,Iowa State,Big 12,A,Texas A&M,W,42,14,20,32,371,4,50,178,2,15,12,7,54,0,0
2005-11-05,Iowa State,Big 12,H,Kansas State,W,45,17,16,23,194,3,53,221,3,7,11,13,109,1,0
2005-11-12,Iowa State,Big 12,H,Colorado,W,30,16,20,38,251,1,25,36,0,11,2,5,68,1,0
2005-11-26,Iowa State,Big 12,A,Kansas,L,21,24,18,34,257,2,36,56,1,12,3,4,32,0,1
2005-12-31,Iowa State,Big 12,N,Texas Christian,L,24,27,20,33,254,3,25,34,0,7,1,6,51,2,2
2005-09-01,Cincinnati,Big East,H,Eastern Michigan,W,28,26,17,26,176,2,55,293,2,10,16,6,46,1,0
2005-09-10,Cincinnati,Big East,A,Penn State,L,24,42,29,49,329,2,34,31,1,16,4,7,54,2,2
2005-09-28,Cincinnati,Big East,A,Miami (OH),L,16,44,27,46,248,1,27,66,1,14,3,10,103,0,5
2005-10-08,Cincinnati,Big East,A,Pitt,L,20,38,13,32,199,2,41,113,1,7,7,7,65,1,1
2005-10-15,Cincinnati,Big East,H,Connecticut,W,28,17,9,21,125,1,40,223,3,4,10,7,63,1,0
2005-10-22,Cincinnati,Big East,H,Louisville,L,22,46,20,41,235,3,50,149,0,15,12,6,60,2,1
2005-10-29,Cincinnati,Big East,A,Syracuse,W,22,16,16,25,150,1,47,182,1,8,15,2,20,0,0
2005-11-09,Cincinnati,Big East,H,West Virginia,L,0,38,21,29,207,0,33,62,0,8,6,4,28,2,2
2005-11-19,Cincinnati,Big East,A,South Florida,L,16,31,20,31,273,2,30,89,0,10,5,8,74,1,1
2005-11-26,Cincinnati,Big East,A,Rutgers,L,9,44,15,24,169,1,28,-23,0,8,5,4,10,1,0
2005-09-01,Arizona State,Pac-10,H,Temple,W,63,16,19,31,259,5,44,300,4,14,13,11,101,1,2
2005-09-10,Arizona State,Pac-10,H,LSU,L,31,35,35,56,461,4,25,99,0,21,5,6,31,1,0
2005-09-17,Arizona State,Pac-10,H,Northwestern,W,52,21,27,39,483,5,45,290,2,19,11,15,142,1,0
2005-09-24,Arizona State,Pac-10,A,Oregon State,W,42,24,21,38,380,4,32,95,2,13,6,9,91,0,0
2005-10-01,Arizona State,Pac-10,H,USC,L,28,38,26,45,347,2,32,68,1,16,4,5,50,0,5
2005-10-08,Arizona State,Pac-10,H,Oregon,L,17,31,31,56,277,2,25,53,0,15,4,7,56,0,2
2005-10-22,Arizona State,Pac-10,A,Stanford,L,35,45,29,41,402,3,42,126,2,20,6,11,100,0,1
2005-10-29,Arizona State,Pac-10,H,Washington,W,44,20,27,34,401,3,43,77,2,18,7,14,91,0,0
2005-11-05,Arizona State,Pac-10,A,Washington State,W,27,24,29,44,424,3,39,124,0,18,6,14,134,1,1
2005-11-12,Arizona State,Pac-10,A,UCLA,L,35,45,27,37,334,3,45,181,2,15,12,2,25,3,0
2005-11-25,Arizona State,Pac-10,H,Arizona,W,23,20,18,37,246,0,30,123,1,11,8,9,59,0,0
2005-12-27,Arizona State,Pac-10,H,Rutgers,W,45,40,23,35,467,4,45,212,2,21,11,11,102,2,0
2005-09-04,Syracuse,Big East,H,West Virginia,L,7,15,15,31,85,0,26,18,1,3,3,11,71,0,2
2005-09-10,Syracuse,Big East,H,Buffalo,W,31,0,10,22,139,0,55,348,4,7,12,7,57,0,0
2005-09-17,Syracuse,Big East,H,Virginia,L,24,27,17,26,172,1,36,80,2,9,4,1,15,0,0
2005-10-01,Syracuse,Big East,A,Florida State,L,14,38,14,25,189,1,31,45,1,8,3,5,40,3,1
2005-10-07,Syracuse,Big East,A,Connecticut,L,7,26,10,31,125,1,34,148,0,5,7,6,60,1,2
2005-10-15,Syracuse,Big East,H,Rutgers,L,9,31,14,28,173,0,37,65,0,6,4,6,55,5,0
2005-10-22,Syracuse,Big East,A,Pitt,L,17,34,9,26,89,1,34,113,0,5,5,9,61,1,4
2005-10-29,Syracuse,Big East,H,Cincinnati,L,16,22,14,26,285,0,40,52,2,9,5,2,20,1,0
2005-11-12,Syracuse,Big East,H,South Florida,L,0,27,8,26,65,0,37,117,0,3,9,6,51,0,3
2005-11-19,Syracuse,Big East,A,Notre Dame,L,10,34,9,22,78,1,38,143,0,5,4,8,46,0,1
2005-11-26,Syracuse,Big East,A,Louisville,L,17,41,19,41,259,1,28,43,1,11,2,6,76,1,2
2005-09-03,Penn State,Big Ten,H,South Florida,W,23,13,9,15,90,0,39,264,2,4,11,5,35,2,1
2005-09-10,Penn State,Big Ten,H,Cincinnati,W,42,24,15,22,245,3,37,148,3,10,7,4,44,2,1
2005-09-17,Penn State,Big Ten,H,Central Michigan,W,40,3,22,36,381,4,31,138,1,14,9,4,29,2,1
2005-09-24,Penn State,Big Ten,A,Northwestern,W,34,29,17,36,271,3,27,209,1,14,7,5,50,1,3
2005-10-01,Penn State,Big Ten,H,Minnesota,W,44,14,13,32,175,0,59,364,5,8,24,3,15,0,0
2005-10-08,Penn State,Big Ten,H,Ohio State,W,17,10,11,20,78,0,37,117,2,5,6,5,29,0,0
2005-10-15,Penn State,Big Ten,A,Michigan,L,25,27,19,34,239,0,38,181,2,8,9,6,35,1,1
2005-10-22,Penn State,Big Ten,A,Illinois,W,63,10,12,20,217,4,46,221,3,9,10,4,35,0,0
2005-10-29,Penn State,Big Ten,H,Purdue,W,33,15,13,29,213,0,55,303,3,9,17,4,30,2,0
2005-11-05,Penn State,Big Ten,H,Wisconsin,W,35,14,13,28,238,2,47,282,3,8,15,5,53,0,2
2005-11-19,Penn State,Big Ten,A,Michigan State,W,31,22,10,20,105,1,39,188,2,6,10,4,24,1,0
2006-01-03,Penn State,Big Ten,N,Florida State,W,26,23,21,39,253,1,48,138,2,11,10,8,43,1,1
2005-09-10,California,Pac-10,A,Washington,W,56,17,17,27,271,4,39,286,3,12,13,6,65,0,1
2005-09-17,California,Pac-10,H,Illinois,W,35,20,8,18,121,1,35,294,3,6,12,7,57,0,0
2005-09-23,California,Pac-10,A,New Mexico State,W,41,13,17,26,284,1,45,311,5,13,14,7,60,0,0
2005-10-01,California,Pac-10,H,Arizona,W,28,0,14,21,137,2,44,194,2,5,10,5,39,1,1
2005-10-08,California,Pac-10,A,UCLA,L,40,47,18,35,215,2,41,330,2,9,15,8,66,0,1
2005-10-15,California,Pac-10,H,Oregon State,L,20,23,14,40,240,2,34,75,1,11,4,5,65,3,2
2005-10-22,California,Pac-10,H,Washington State,W,42,38,19,35,274,4,48,274,1,10,14,4,40,1,2
2005-11-05,California,Pac-10,A,Oregon,L,20,27,10,26,88,0,39,213,2,5,8,5,40,1,3
2005-11-12,California,Pac-10,H,USC,L,10,35,13,23,132,0,31,167,1,7,8,7,58,2,4
2005-11-19,California,Pac-10,A,Stanford,W,27,3,11,19,139,2,43,226,2,5,12,1,5,0,1
2005-12-22,California,Pac-10,N,Brigham Young,W,35,28,16,23,228,2,43,241,3,7,16,9,85,0,0
2005-09-10,Stanford,Pac-10,A,Navy,W,41,38,21,33,235,1,35,181,3,11,10,3,35,1,0
2005-10-01,Stanford,Pac-10,H,Oregon,L,20,44,16,29,156,1,27,64,0,4,7,8,64,1,2
2005-10-08,Stanford,Pac-10,A,Washington State,W,24,21,19,29,257,3,47,218,0,13,13,8,70,0,0
2005-10-15,Stanford,Pac-10,A,Arizona,W,20,16,16,26,137,2,32,58,0,6,5,7,36,0,0
2005-10-22,Stanford,Pac-10,H,Arizona State,W,45,35,19,27,303,3,33,66,2,13,4,5,35,0,0
2005-10-29,Stanford,Pac-10,H,UCLA,L,27,30,18,25,169,2,46,140,1,10,8,9,87,0,0
2005-11-05,Stanford,Pac-10,A,USC,L,21,51,25,41,279,1,35,141,2,14,8,6,33,2,3
2005-11-12,Stanford,Pac-10,A,Oregon State,W,20,17,18,33,234,2,40,68,0,10,3,6,45,1,2
2005-11-19,Stanford,Pac-10,H,California,L,3,27,24,37,228,0,37,16,0,15,3,2,30,1,0
2005-11-26,Stanford,Pac-10,H,Notre Dame,L,31,38,23,36,347,3,25,-11,0,12,2,2,8,0,0
2005-09-01,Washington State,Pac-10,H,Idaho,W,38,26,17,29,230,3,35,206,2,9,7,9,103,1,2
2005-09-09,Washington State,Pac-10,A,Nevada,W,55,21,19,32,287,4,43,247,1,12,13,6,48,1,0
2005-10-01,Washington State,Pac-10,A,Oregon State,L,33,44,31,59,531,1,38,107,3,21,8,8,67,1,4
