Date,Team,Conference,Location,Opponent,Result,Points,OppponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2016-09-01,Indiana,Big Ten,A,Florida International,W,34,13,18,28,240,1,52,246,1,10,15,9,74,1,0
2016-09-10,Indiana,Big Ten,H,Ball State,W,30,20,17,27,266,3,45,187,0,8,11,8,69,0,0
2016-09-24,Indiana,Big Ten,H,Wake Forest,L,28,33,28,47,496,3,32,115,1,18,5,9,84,0,5
2016-10-01,Indiana,Big Ten,H,Michigan State,W,24,21,17,28,281,3,39,156,0,12,6,7,60,0,1
2016-10-08,Indiana,Big Ten,A,Ohio State,L,17,38,14,28,182,2,40,99,0,6,7,5,40,1,1
2016-10-15,Indiana,Big Ten,H,Nebraska,L,22,27,24,39,245,1,30,88,1,12,4,1,10,0,2
2016-10-22,Indiana,Big Ten,A,Northwestern,L,14,24,35,59,317,0,27,84,1,14,6,5,53,0,2
2016-10-29,Indiana,Big Ten,H,Maryland,W,42,36,17,26,236,0,57,414,6,14,18,6,65,0,0
2016-11-05,Indiana,Big Ten,A,Rutgers,W,33,27,29,41,420,3,44,147,2,17,6,4,22,2,2
2016-11-12,Indiana,Big Ten,H,Penn State,L,31,45,24,41,344,2,41,110,2,15,5,8,80,5,0
2016-11-19,Indiana,Big Ten,A,Michigan,L,10,20,14,30,191,0,36,64,1,9,4,4,35,0,0
2016-11-26,Indiana,Big Ten,H,Purdue,W,26,24,11,22,117,1,54,152,2,6,10,9,70,0,4
2016-12-28,Indiana,Big Ten,N,Utah,L,24,26,15,40,224,2,37,117,1,11,8,4,24,2,1
2016-09-05,Florida State,ACC,N,Ole Miss,W,45,34,33,52,419,2,41,161,2,17,12,15,127,0,0
2016-09-17,Florida State,ACC,A,Louisville,L,20,63,8,24,113,2,43,171,0,6,12,8,84,1,1
2016-09-24,Florida State,ACC,A,South Florida,W,55,35,11,19,169,1,63,478,6,8,20,4,50,1,0
2016-10-01,Florida State,ACC,H,North Carolina,L,35,37,20,32,372,0,43,223,5,15,12,13,120,0,0
2016-10-08,Florida State,ACC,A,Miami (FL),W,20,19,21,33,240,2,43,167,0,10,10,8,77,0,1
2016-10-15,Florida State,ACC,H,Wake Forest,W,17,6,22,37,319,1,38,123,1,13,13,4,42,3,1
2016-10-29,Florida State,ACC,H,Clemson,L,34,37,17,35,286,1,28,163,4,13,6,13,111,0,1
2016-11-05,Florida State,ACC,A,North Carolina State,W,24,20,22,39,330,1,24,63,2,12,7,6,59,1,0
2016-11-11,Florida State,ACC,H,Boston College,W,45,7,21,31,236,5,39,180,1,11,11,4,33,0,0
2016-11-19,Florida State,ACC,A,Syracuse,W,45,14,19,31,320,2,45,334,4,16,16,9,85,3,1
2016-11-26,Florida State,ACC,H,Florida,W,31,13,15,26,138,1,40,249,3,6,10,3,35,2,1
2016-12-30,Florida State,ACC,N,Michigan,W,33,32,9,27,222,2,35,149,2,5,7,7,65,1,1
2016-09-10,Iowa State,Big 12,A,Iowa,L,3,42,14,35,165,0,35,126,0,8,7,10,73,0,1
2016-09-17,Iowa State,Big 12,A,Texas Christian,L,20,41,19,36,217,0,47,138,2,7,10,7,44,0,0
2016-09-24,Iowa State,Big 12,H,San Jose State,W,44,10,22,29,316,5,32,187,1,13,9,3,25,1,0
2016-10-01,Iowa State,Big 12,H,Baylor,L,42,45,17,23,261,2,54,204,4,12,12,9,80,0,0
2016-10-08,Iowa State,Big 12,A,Oklahoma State,L,31,38,25,44,283,3,42,165,1,14,9,7,41,1,2
2016-10-15,Iowa State,Big 12,A,Texas,L,6,27,19,34,182,0,43,98,0,7,9,6,64,1,0
2016-10-29,Iowa State,Big 12,H,Kansas State,L,26,31,24,43,339,2,31,154,1,16,8,6,51,0,1
2016-11-03,Iowa State,Big 12,H,Oklahoma,L,24,34,16,30,160,2,26,130,1,8,6,5,45,0,0
2016-11-12,Iowa State,Big 12,A,Kansas,W,31,24,21,30,220,2,46,238,2,12,11,5,59,0,1
2016-11-19,Iowa State,Big 12,H,Texas Tech,W,66,10,17,22,336,2,43,272,6,14,10,2,25,0,0
2016-11-26,Iowa State,Big 12,H,West Virginia,L,19,49,23,44,371,0,34,190,0,12,9,7,85,3,1
2016-09-10,Cincinnati,American,A,Purdue,W,38,20,19,32,250,3,46,262,2,12,9,5,45,0,0
2016-09-15,Cincinnati,American,H,Houston,L,16,40,22,39,277,2,25,30,0,11,1,2,15,0,3
2016-09-24,Cincinnati,American,H,Miami (OH),W,27,20,25,38,276,0,48,187,3,15,12,5,60,1,2
2016-10-01,Cincinnati,American,H,South Florida,L,20,45,23,41,263,1,35,130,2,11,8,4,40,1,3
2016-10-08,Cincinnati,American,A,Connecticut,L,9,20,29,56,315,0,22,2,0,18,2,5,57,0,1
2016-10-22,Cincinnati,American,H,East Carolina,W,31,19,23,40,348,4,35,165,0,11,12,9,82,0,0
2016-10-29,Cincinnati,American,A,Temple,L,13,34,15,27,119,2,22,67,0,8,2,4,35,2,0
2016-11-05,Cincinnati,American,H,Brigham Young,L,3,20,19,32,199,0,25,96,0,12,4,4,40,0,1
2016-11-12,Cincinnati,American,A,UCF,L,3,24,19,42,220,0,36,107,0,11,6,2,15,1,2
2016-11-18,Cincinnati,American,H,Memphis,L,7,34,23,34,144,1,35,100,0,9,7,5,52,1,2
2016-11-25,Cincinnati,American,A,Tulsa,L,37,40,21,38,400,4,33,134,0,12,5,5,43,0,0
2016-09-10,Arizona State,Pac-12,H,Texas Tech,W,68,55,28,37,351,2,53,301,7,18,11,6,60,0,0
2016-09-16,Arizona State,Pac-12,A,UTSA,W,32,28,15,31,264,2,48,205,1,11,12,3,30,2,1
2016-09-24,Arizona State,Pac-12,H,California,W,51,41,21,30,290,1,50,164,3,12,9,5,44,0,1
2016-10-01,Arizona State,Pac-12,A,USC,L,20,41,19,37,228,1,33,75,1,10,4,5,75,0,1
2016-10-08,Arizona State,Pac-12,H,UCLA,W,23,20,20,39,196,1,34,79,1,12,3,5,64,1,2
2016-10-15,Arizona State,Pac-12,A,Colorado,L,16,40,13,35,149,1,28,50,0,6,1,2,20,0,1
2016-10-22,Arizona State,Pac-12,H,Washington State,L,32,37,14,24,167,0,34,117,3,7,4,4,40,1,0
2016-10-29,Arizona State,Pac-12,A,Oregon,L,35,54,23,40,329,2,36,139,3,14,8,6,49,0,3
2016-11-10,Arizona State,Pac-12,H,Utah,L,26,49,20,32,355,1,47,41,2,10,8,8,75,0,2
2016-11-19,Arizona State,Pac-12,A,Washington,L,18,44,21,33,230,2,27,15,0,10,1,9,66,1,1
2016-11-25,Arizona State,Pac-12,A,Arizona,L,35,56,43,60,372,3,38,120,1,16,9,8,61,1,1
2016-09-09,Syracuse,ACC,H,Louisville,L,28,62,27,53,293,3,40,121,1,12,9,8,55,1,1
2016-09-17,Syracuse,ACC,H,South Florida,L,20,45,32,50,350,2,55,199,0,16,11,10,69,1,2
2016-09-24,Syracuse,ACC,A,Connecticut,W,31,24,26,40,407,2,26,62,1,16,3,4,25,0,0
2016-10-01,Syracuse,ACC,N,Notre Dame,L,33,50,31,51,363,2,37,126,3,16,6,5,45,0,0
2016-10-08,Syracuse,ACC,A,Wake Forest,L,9,28,17,26,168,0,40,158,1,8,6,7,63,1,1
2016-10-15,Syracuse,ACC,H,Virginia Tech,W,31,17,30,55,405,2,45,156,2,18,11,8,55,0,1
2016-10-22,Syracuse,ACC,A,Boston College,W,28,20,32,38,434,3,33,99,1,14,5,16,135,2,1
