Date	Team ID	Team	Division	Subdivision	Opp. ID	Opponent	Location	Neutral Site Location
8/25/2018	156	Colorado State	1	1	277	Hawaii	H	
8/25/2018	277	Hawaii	1	1	156	Colorado State	A	
8/25/2018	400	Massachusetts	1	1	194	Duquesne	H	
8/25/2018	574	Rice	1	1	553	Prairie View	H	
8/25/2018	472	New Mexico State	1	1	811	Wyoming	H	
8/25/2018	811	Wyoming	1	1	472	New Mexico State	A	
8/30/2018	521	Oklahoma State	1	1	669	Missouri State	H	
8/30/2018	630	San Jose State	1	1	108	UC Davis	H	
8/30/2018	9	UAB	1	1	632	Savannah State	H	
8/30/2018	254	Georgia State	1	1	1157	Kennesaw State	H	
8/30/2018	718	Tulane	1	1	749	Wake Forest	H	
8/30/2018	749	Wake Forest	1	1	718	Tulane	A	
8/30/2018	498	La.-Monroe	1	1	655	Southeastern La.	H	
8/30/2018	428	Minnesota	1	1	472	New Mexico State	H	
8/30/2018	472	New Mexico State	1	1	428	Minnesota	A	
8/30/2018	732	Utah	1	1	758	Weber State	H	
8/30/2018	128	UCF	1	1	164	Connecticut	A	
8/30/2018	164	Connecticut	1	1	128	UCF	H	
8/30/2018	47	Ball State	1	1	127	Central Conn. State	H	
8/30/2018	509	Northwestern	1	1	559	Purdue	A	
8/30/2018	559	Purdue	1	1	509	Northwestern	H	
8/30/2018	697	Texas A&M	1	1	508	Northwestern State	H	
8/31/2018	772	W. Kentucky	1	1	796	Wisconsin	A	
8/31/2018	796	Wisconsin	1	1	772	W. Kentucky	H	
8/31/2018	193	Duke	1	1	725	Army	H	
8/31/2018	725	Army	1	1	193	Duke	A	
8/31/2018	626	San Diego State	1	1	674	Stanford	A	
8/31/2018	674	Stanford	1	1	626	San Diego State	H	
8/31/2018	466	Nevada	1	1	550	Portland State	H	
8/31/2018	688	Syracuse	1	1	774	W. Michigan	A	
8/31/2018	774	W. Michigan	1	1	688	Syracuse	H	
8/31/2018	416	Michigan State	1	1	731	Utah State	H	
8/31/2018	731	Utah State	1	1	416	Michigan State	A	
8/31/2018	156	Colorado State	1	1	157	Colorado	N	"Denver, Colo."
8/31/2018	157	Colorado	1	1	156	Colorado State	N	"Denver, Colo."
8/31/2018	204	E. Michigan	1	1	439	Monmouth	H	
9/1/2018	721	Air Force	1	1	683	Stony Brook	H	
9/1/2018	110	UCLA	1	1	140	Cincinnati	H	
9/1/2018	140	Cincinnati	1	1	110	UCLA	A	
9/1/2018	434	Missouri	1	1	695	UT Martin	H	
