Date,Team,Conference,Location,Opponent,Result,Points,OpponentPoints,PassCompletions,PassAttempts,PassYards,PassTDs,RushAttempts,RushYards,RushTDs,FirstDownPass,FirstDownRush,Penalties,PenaltyYards,Fumbles,Interceptions
2012-09-08,Indiana,Big Ten,A,Massachusetts,W,45,6,26,40,275,2,53,331,4,13,16,6,81,0,1
2012-09-15,Indiana,Big Ten,H,Ball State,L,39,41,37,55,423,4,32,135,1,18,6,12,127,0,0
2012-09-29,Indiana,Big Ten,A,Northwestern,L,29,44,22,39,266,1,28,159,2,8,8,4,28,0,1
2012-10-06,Indiana,Big Ten,H,Michigan State,L,27,31,33,48,282,3,19,35,0,11,3,4,36,0,0
2012-10-13,Indiana,Big Ten,H,Ohio State,L,49,52,28,54,352,3,24,129,3,16,6,4,50,0,0
2012-10-20,Indiana,Big Ten,A,Navy,L,30,31,25,38,244,0,40,173,3,15,11,5,44,0,2
2012-10-27,Indiana,Big Ten,A,Illinois,W,31,17,14,22,171,2,42,121,2,5,5,3,25,0,1
2012-11-03,Indiana,Big Ten,H,Iowa,W,24,21,31,49,406,3,30,67,0,16,6,7,50,1,1
2012-11-10,Indiana,Big Ten,H,Wisconsin,L,14,62,25,47,233,2,23,61,0,13,2,3,30,1,2
2012-11-17,Indiana,Big Ten,A,Penn State,L,22,45,33,59,454,2,26,24,0,20,3,3,11,0,2
2012-11-24,Indiana,Big Ten,A,Purdue,L,35,56,31,53,348,1,35,164,4,13,9,9,44,1,3
2012-09-15,Florida State,ACC,H,Wake Forest,W,52,0,19,28,227,2,45,385,4,14,13,5,48,1,0
2012-09-22,Florida State,ACC,H,Clemson,W,49,37,27,35,380,2,40,287,5,15,11,11,81,2,0
2012-09-29,Florida State,ACC,A,South Florida,W,30,17,19,26,242,1,41,182,1,10,7,6,50,0,0
2012-10-06,Florida State,ACC,A,North Carolina State,L,16,17,17,30,218,1,36,125,0,8,8,5,59,0,1
2012-10-13,Florida State,ACC,H,Boston College,W,51,7,29,38,448,4,33,201,2,17,13,9,96,0,2
2012-10-20,Florida State,ACC,A,Miami (FL),W,33,20,21,31,229,0,41,218,3,11,12,12,121,2,0
2012-10-27,Florida State,ACC,H,Duke,W,48,7,9,21,299,2,47,261,3,7,15,7,63,4,0
2012-11-08,Florida State,ACC,A,Virginia Tech,W,28,22,25,42,326,3,25,-15,0,14,5,5,26,1,1
2012-11-17,Florida State,ACC,A,Maryland,W,41,14,19,26,160,2,41,237,3,8,12,7,55,1,1
2012-11-24,Florida State,ACC,H,Florida,L,26,37,19,36,193,1,25,117,2,11,7,3,20,2,3
2012-12-01,Florida State,ACC,N,Georgia Tech,W,21,15,16,21,134,0,37,194,3,9,12,6,39,2,1
2013-01-01,Florida State,ACC,N,Northern Illinois,W,31,10,26,38,291,1,37,243,3,13,9,8,96,1,0
2012-09-01,Iowa State,Big 12,H,Tulsa,W,38,23,32,45,281,2,45,160,3,10,15,4,23,0,1
2012-09-08,Iowa State,Big 12,A,Iowa,W,9,6,24,36,241,1,41,101,0,11,6,3,35,2,2
2012-09-29,Iowa State,Big 12,H,Texas Tech,L,13,24,10,20,73,1,38,116,0,3,9,3,32,1,3
2012-10-06,Iowa State,Big 12,A,Texas Christian,W,37,23,13,22,198,4,35,152,0,6,6,5,43,0,1
2012-10-13,Iowa State,Big 12,H,Kansas State,L,21,27,16,36,166,2,24,65,1,9,2,8,52,0,1
2012-10-20,Iowa State,Big 12,A,Oklahoma State,L,10,31,23,48,240,1,22,101,0,10,6,6,45,1,1
2012-10-27,Iowa State,Big 12,H,Baylor,W,35,21,36,54,381,5,48,176,0,20,11,3,20,1,1
2012-11-03,Iowa State,Big 12,H,Oklahoma,L,20,35,20,40,191,0,24,99,2,9,5,2,10,0,1
2012-11-10,Iowa State,Big 12,A,Texas,L,7,33,15,29,133,1,31,144,0,5,10,3,40,0,2
2012-11-17,Iowa State,Big 12,A,Kansas,W,51,23,27,34,307,4,42,241,2,15,12,5,50,1,0
2012-11-23,Iowa State,Big 12,H,West Virginia,L,24,31,13,31,162,3,46,234,0,7,13,5,43,1,0
2012-12-31,Iowa State,Big 12,N,Tulsa,L,17,31,14,28,170,1,28,98,0,5,4,9,84,1,2
2012-09-06,Cincinnati,Big East,H,Pitt,W,34,10,14,28,205,2,31,259,2,10,8,7,52,0,0
2012-09-29,Cincinnati,Big East,N,Virginia Tech,W,27,24,20,43,392,3,32,103,0,12,7,8,50,1,1
2012-10-06,Cincinnati,Big East,H,Miami (OH),W,52,14,13,23,157,2,50,272,4,9,13,9,84,0,0
2012-10-20,Cincinnati,Big East,A,Toledo,L,23,29,15,37,227,1,35,251,1,11,11,4,45,0,2
2012-10-26,Cincinnati,Big East,A,Louisville,L,31,34,13,28,157,1,41,196,3,7,9,6,59,0,3
2012-11-03,Cincinnati,Big East,H,Syracuse,W,35,24,16,27,207,2,53,263,3,8,14,8,90,2,1
2012-11-10,Cincinnati,Big East,A,Temple,W,34,10,13,21,244,2,40,228,2,8,9,2,15,0,0
2012-11-17,Cincinnati,Big East,H,Rutgers,L,3,10,17,31,251,0,28,90,0,11,5,4,40,0,2
2012-11-23,Cincinnati,Big East,H,South Florida,W,27,10,17,27,178,1,40,194,3,6,12,4,50,0,0
2012-12-01,Cincinnati,Big East,A,Connecticut,W,34,17,20,30,284,3,32,72,1,11,4,7,56,1,0
2012-12-27,Cincinnati,Big East,N,Duke,W,48,34,17,25,332,4,28,222,1,9,8,6,59,0,0
2012-09-08,Arizona State,Pac-12,H,Illinois,W,45,14,23,29,318,3,38,192,3,14,12,1,5,2,0
2012-09-15,Arizona State,Pac-12,A,Missouri,L,20,24,16,27,183,1,37,113,2,9,6,7,54,2,2
2012-09-22,Arizona State,Pac-12,H,Utah,W,37,7,23,31,372,3,43,140,1,15,6,8,51,0,0
2012-09-29,Arizona State,Pac-12,A,California,W,27,17,27,46,293,3,48,116,0,16,8,1,15,0,0
2012-10-11,Arizona State,Pac-12,A,Colorado,W,51,17,23,33,332,5,44,261,1,15,14,5,33,2,0
2012-10-18,Arizona State,Pac-12,H,Oregon,L,21,43,20,37,216,2,47,192,0,11,10,2,10,0,4
2012-10-27,Arizona State,Pac-12,H,UCLA,L,43,45,25,35,315,4,59,220,1,14,13,4,36,0,1
2012-11-03,Arizona State,Pac-12,A,Oregon State,L,26,36,22,41,153,1,32,150,1,8,9,3,30,0,1
2012-11-10,Arizona State,Pac-12,A,USC,L,17,38,20,33,179,1,35,71,0,7,8,7,49,1,3
2012-11-17,Arizona State,Pac-12,H,Washington State,W,46,7,27,32,301,5,61,260,1,17,15,4,30,1,1
2012-11-23,Arizona State,Pac-12,A,Arizona,W,41,34,16,29,191,0,55,269,5,11,12,7,86,2,0
2012-12-29,Arizona State,Pac-12,N,Navy,W,62,28,17,20,267,4,48,381,5,12,21,2,25,1,0
2012-09-01,Syracuse,Big East,H,Northwestern,L,41,42,45,66,482,4,29,114,1,23,6,12,72,2,1
2012-09-08,Syracuse,Big East,H,USC,L,29,42,30,46,322,2,41,133,2,16,8,5,40,0,2
2012-09-22,Syracuse,Big East,A,Minnesota,L,10,17,21,31,228,1,33,122,0,13,5,10,79,2,2
2012-10-05,Syracuse,Big East,H,Pitt,W,14,13,19,31,185,0,33,120,1,9,9,3,45,0,1
2012-10-13,Syracuse,Big East,A,Rutgers,L,15,23,25,42,356,1,32,62,1,17,4,7,44,2,2
2012-10-19,Syracuse,Big East,H,Connecticut,W,40,10,14,20,251,2,53,251,2,8,11,8,73,0,0
2012-10-27,Syracuse,Big East,A,South Florida,W,37,36,27,40,328,4,46,192,1,16,15,10,89,0,0
2012-11-03,Syracuse,Big East,A,Cincinnati,L,24,35,23,47,286,1,41,193,2,13,10,12,104,2,0
2012-11-10,Syracuse,Big East,H,Louisville,W,45,26,15,23,246,3,52,278,3,8,14,7,55,0,0
2012-11-17,Syracuse,Big East,A,Missouri,W,31,27,26,40,385,2,36,123,2,20,4,5,60,0,1
2012-11-23,Syracuse,Big East,A,Temple,W,38,20,16,28,215,1,49,260,3,8,16,10,89,2,0
