2014,
1,Alabama
2,Oregon
3,Florida State
4,Ohio State
5,Baylor
6,TCU
7,Mississippi State
8,Michigan State
9,Mississippi
10,Arizona
11,Kansas State
12,Georgia Tech
13,Georgia
14,UCLA
15,Arizona State
16,Missouri
17,Clemson
18,Wisconsin
19,Auburn
20,Boise State
21,Louisivlle
22,Utah
23,LSU
24,Southern Cal
25,Minnesota
2015,
1,Clemson
2,Alabama
3,Michigan State
4,Oklahoma
5,Iowa
6,Stanford
7,Ohio State
8,Notre Dame
9,Florida State
10,North Carolina
11,TCU
12,Ole Miss
13,Northwestern
14,Michigan
15,Oregon
16,Oklahoma State
17,Baylor
18,Houston
19,Florida
20,LSU
21,Navy
22,Utah
23,Tennessee
24,Temple
25,Southern Cal
2016,
1,Alabama
2,Clemson
3,Ohio State
4,Washington
5,Penn State
6,Michigan
7,Oklahoma
8,Wisconsin
9,Southern Cal
10,Colorado
11,Florida State
12,Oklahoma State
13,Louisville
14,Auburn
15,Western Michigan
16,West Virginia
17,Florida
18,Stanford
19,Utah
20,LSU
21,Tennessee
22,Virginia Tech
23,Pittsburgh
24,Temple
25,Navy
2017,
1,Clemson
2,Oklahoma
3,Georgia
4,Alabama
5,Ohio State
6,Wisconsin
7,Auburn
8,Southern Cal
9,Penn State
10,Miami
11,Washington
12,UCF
13,Stanford
14,Notre Dame
15,TCU
16,Michigan State
17,LSU
18,Washington State
19,Oklahoma State
20,Memphis
21,Northwestern
22,Virginia Tech
23,Mississippi State
24,N.C. State
25,Boise State
2018,
1,Alabama
2,Clemson
3,Notre Dame
4,Oklahoma
5,Georgia
6,Ohio State
7,Michigan
8,UCF
9,Washington
10,Florida
11,LSU
12,Penn State
13,Washington State
14,Kentucky
15,Texas
16,West Virginia
17,Utah
18,Mississippi State
19,Texas A&M
20,Syracuse
21,Fresno State
22,Northwestern
23,Missouri
24,Iowa State
25,Boise State
